batch,frame_dense_frame_accuracy,frame_dense_frame_precision,frame_dense_frame_recall,frame_dense_loss,loss,offset_dense_loss,offset_dense_offset_accuracy,offset_dense_offset_precision,offset_dense_offset_recall,onset_dense_loss,onset_dense_onset_accuracy,onset_dense_onset_f1,onset_dense_onset_precision,onset_dense_onset_recall,velocity_dense_loss,velocity_dense_velocity_mae
0,0.5138676166534424,0.023313967511057854,0.4623415470123291,1.3843353986740112,5.624340534210205,1.3713144063949585,0.5175189971923828,0.02713054046034813,0.5026214718818665,1.3731929063796997,0.5156795978546143,0.051228996366262436,0.026979295536875725,0.5063469409942627,0.24460963904857635,0.48622918128967285
1,0.5098657608032227,0.025748170912265778,0.5258278250694275,1.3528058528900146,5.535177230834961,1.355076789855957,0.5140407085418701,0.029202928766608238,0.5507908463478088,1.3550214767456055,0.5169862508773804,0.05576767027378082,0.029366828501224518,0.5521677732467651,0.23450309038162231,0.475790798664093
2,0.5100494027137756,0.02899913303554058,0.5801573395729065,1.3515485525131226,5.447375774383545,1.3285595178604126,0.5168026685714722,0.0301741324365139,0.5821917653083801,1.32744300365448,0.52325838804245,0.05726974830031395,0.030137453228235245,0.5743349194526672,0.22476334869861603,0.4652739465236664
3,0.5084885358810425,0.030091065913438797,0.6108992695808411,1.3352081775665283,5.546529769897461,1.371228575706482,0.5230482816696167,0.034798018634319305,0.6105002164840698,1.366100549697876,0.5293970108032227,0.06636859476566315,0.03509542718529701,0.6093879342079163,0.21578404307365417,0.4553918242454529
4,0.510219931602478,0.03106863796710968,0.6369584798812866,1.3178446292877197,5.451692581176758,1.3479387760162354,0.5267318487167358,0.03528876602649689,0.6295068860054016,1.3408775329589844,0.5341691970825195,0.06782576441764832,0.03583765774965286,0.6314289569854736,0.20830801129341125,0.447004497051239
5,0.5110418796539307,0.03167136013507843,0.656715452671051,1.3028717041015625,5.390005588531494,1.3345962762832642,0.5295397043228149,0.035717688500881195,0.6404942274093628,1.3259142637252808,0.5373582243919373,0.06942634284496307,0.036673225462436676,0.6494945287704468,0.2014179676771164,0.43898022174835205
6,0.5142500400543213,0.033350080251693726,0.6802961826324463,1.2982183694839478,5.290986061096191,1.3030987977981567,0.5335354804992676,0.035526689141988754,0.6560522317886353,1.2961369752883911,0.5409837365150452,0.06893840432167053,0.03635918349027634,0.663113534450531,0.19478952884674072,0.4309975206851959
7,0.5161451101303101,0.03387519344687462,0.6961778998374939,1.2847895622253418,5.280439376831055,1.3052016496658325,0.537940263748169,0.03725729510188103,0.671135663986206,1.2980566024780273,0.5434103608131409,0.07199963182210922,0.038015808910131454,0.678851842880249,0.1886690855026245,0.42353689670562744
8,0.5193764567375183,0.03491521626710892,0.7112622857093811,1.277915596961975,5.231142997741699,1.2916735410690308,0.5424011945724487,0.03828011080622673,0.6873323917388916,1.2850346565246582,0.5464358925819397,0.07382386922836304,0.03898019343614578,0.6956741809844971,0.1829681396484375,0.4164015054702759
9,0.5223520994186401,0.03567679598927498,0.7213572263717651,1.2722320556640625,5.205752849578857,1.2854725122451782,0.5459690093994141,0.03909020125865936,0.6962794661521912,1.2795900106430054,0.5485804677009583,0.075190968811512,0.03971223533153534,0.705326497554779,0.17773538827896118,0.40972599387168884
10,0.5252569317817688,0.036028970032930374,0.7250025868415833,1.2681422233581543,5.1440815925598145,1.266717553138733,0.549470067024231,0.03862835094332695,0.7007137537002563,1.2613457441329956,0.5507861971855164,0.07418099045753479,0.03913553059101105,0.7097943425178528,0.17306052148342133,0.4036922752857208
11,0.5280320048332214,0.03652038797736168,0.7332113981246948,1.2607929706573486,5.109670162200928,1.2587028741836548,0.5528406500816345,0.03932894393801689,0.7100876569747925,1.2529879808425903,0.5532586574554443,0.0752805545926094,0.039720818400382996,0.7186122536659241,0.1683960109949112,0.3975198268890381
12,0.5306525826454163,0.03747553750872612,0.7395902276039124,1.2628849744796753,5.095848560333252,1.2545418739318848,0.5559090375900269,0.03995253145694733,0.7160156965255737,1.2482236623764038,0.5557226538658142,0.07647642493247986,0.04036437347531319,0.7259384393692017,0.16394776105880737,0.39150696992874146
13,0.5332103371620178,0.037692926824092865,0.7438854575157166,1.2559810876846313,5.047426700592041,1.2413510084152222,0.5589638352394104,0.03976873680949211,0.7194210886955261,1.2350578308105469,0.5588467121124268,0.0762491524219513,0.04022479057312012,0.7301893830299377,0.15995584428310394,0.38610032200813293
14,0.5354894995689392,0.0382913202047348,0.7487112879753113,1.2556408643722534,5.010570049285889,1.229956030845642,0.5618407726287842,0.03972974047064781,0.7244659066200256,1.223482370376587,0.5612804293632507,0.07606703788042068,0.04011039063334465,0.734538197517395,0.15601494908332825,0.380614697933197
15,0.5373785495758057,0.038441259413957596,0.7534703612327576,1.2485127449035645,5.002303123474121,1.2302908897399902,0.5643876791000366,0.04043375328183174,0.727885365486145,1.2236816883087158,0.5634076595306396,0.0772838145494461,0.040776800364255905,0.7380657196044922,0.15227019786834717,0.3753327429294586
16,0.5391380190849304,0.038978949189186096,0.7571814656257629,1.2484978437423706,5.001523971557617,1.2311471700668335,0.566927433013916,0.041025035083293915,0.7296063899993896,1.2237770557403564,0.5655176639556885,0.07832586020231247,0.041350848972797394,0.7401649355888367,0.14864777028560638,0.37011075019836426
17,0.5407384037971497,0.03929704427719116,0.75926274061203,1.2475131750106812,5.013040542602539,1.2356406450271606,0.5691773891448975,0.04168691486120224,0.7299938201904297,1.2286269664764404,0.5675550699234009,0.07944857329130173,0.041977982968091965,0.7399161458015442,0.1452641636133194,0.3651922941207886
18,0.5422273874282837,0.0392487607896328,0.7624059915542603,1.2395099401474,4.988073348999023,1.2305855751037598,0.5714684724807739,0.04197343438863754,0.7331457734107971,1.2234855890274048,0.5697426795959473,0.079960897564888,0.04225454479455948,0.7428691387176514,0.1420111358165741,0.3603955805301666
19,0.5434713959693909,0.03943309187889099,0.7630946636199951,1.2391915321350098,5.002415657043457,1.2364815473556519,0.5732818245887756,0.04273192957043648,0.7335506677627563,1.2286466360092163,0.5712348818778992,0.08127318322658539,0.04298514500260353,0.7437641620635986,0.1388971507549286,0.35572540760040283
20,0.5448080897331238,0.039546556770801544,0.7673904299736023,1.2323572635650635,4.998606204986572,1.2381885051727295,0.5750607848167419,0.04378065466880798,0.7392192482948303,1.2300630807876587,0.5726157426834106,0.0831567570567131,0.04401850700378418,0.7500503659248352,0.13586664199829102,0.35110458731651306
21,0.5460203289985657,0.039687007665634155,0.7690656185150146,1.2295644283294678,5.004243850708008,1.2420270442962646,0.576518714427948,0.044387366622686386,0.7397763133049011,1.2330785989761353,0.573777973651886,0.0842260792851448,0.044614292681217194,0.7511618733406067,0.13298849761486053,0.3466648757457733
22,0.5470860004425049,0.03975289687514305,0.769963800907135,1.2272588014602661,5.002967834472656,1.2428638935089111,0.5775248408317566,0.04478032886981964,0.7412058711051941,1.2338660955429077,0.5745244026184082,0.08493424952030182,0.045005351305007935,0.752985417842865,0.13022471964359283,0.3423432409763336
23,0.5483182072639465,0.0397656112909317,0.7713810801506042,1.222773790359497,4.978938102722168,1.236923098564148,0.5785101056098938,0.044765882194042206,0.7434736490249634,1.2277277708053589,0.5755022168159485,0.08495227992534637,0.04500603675842285,0.7556377053260803,0.12757061421871185,0.3381519317626953
24,0.5496227145195007,0.04006873071193695,0.775175154209137,1.2190991640090942,4.952694416046143,1.2301387786865234,0.5792275071144104,0.04459210857748985,0.7455400824546814,1.220476508140564,0.5762041211128235,0.08467352390289307,0.044841468334198,0.7579500079154968,0.1250060349702835,0.33404162526130676
25,0.5508670806884766,0.0403684563934803,0.7777080535888672,1.216930866241455,4.9263105392456055,1.2224714756011963,0.5796365141868591,0.04433305189013481,0.7479128241539001,1.2128221988677979,0.576581597328186,0.08423133939504623,0.04458501562476158,0.7604141235351562,0.12252651154994965,0.3300129175186157
26,0.551966667175293,0.04046957939863205,0.7781728506088257,1.2154350280761719,4.928289890289307,1.223911166191101,0.5802111625671387,0.04482867196202278,0.7502543330192566,1.2144361734390259,0.5772117972373962,0.08515135198831558,0.04509283974766731,0.7627065181732178,0.12014179676771164,0.32608771324157715
27,0.5529880523681641,0.04070016369223595,0.7786951661109924,1.2155617475509644,4.9225239753723145,1.2223519086837769,0.5804527401924133,0.04479071870446205,0.7504409551620483,1.2128463983535767,0.5776037573814392,0.08507943153381348,0.04505269229412079,0.7626534104347229,0.11783440411090851,0.3222270905971527
28,0.553924560546875,0.040675532072782516,0.7782397866249084,1.2135061025619507,4.910242557525635,1.2193968296051025,0.5807133913040161,0.044835180044174194,0.7521933913230896,1.209768533706665,0.578016996383667,0.08520063757896423,0.04511440917849541,0.764446496963501,0.11560449004173279,0.3184613883495331
29,0.5548769235610962,0.04075676202774048,0.7788713574409485,1.2113744020462036,4.908966541290283,1.220150113105774,0.5809603929519653,0.04530885070562363,0.7551519274711609,1.2103571891784668,0.5784346461296082,0.0860721692442894,0.0455932691693306,0.767310380935669,0.11345472186803818,0.3147886395454407
30,0.555690586566925,0.04083673283457756,0.7785635590553284,1.2105708122253418,4.911206245422363,1.2213540077209473,0.5811209678649902,0.045546043664216995,0.7557908892631531,1.2117985486984253,0.5787465572357178,0.0864667147397995,0.0458148792386055,0.7672733664512634,0.11136775463819504,0.31117725372314453
31,0.5565214157104492,0.04102957993745804,0.7790443301200867,1.2104907035827637,4.910168647766113,1.2214125394821167,0.581098198890686,0.045753344893455505,0.7572519183158875,1.2117964029312134,0.5787834525108337,0.08684054762125015,0.04602035880088806,0.7685202360153198,0.10934458673000336,0.3076375126838684
32,0.5575364232063293,0.04128164052963257,0.7823041081428528,1.2068475484848022,4.893487453460693,1.2174204587936401,0.5813585519790649,0.04604398086667061,0.7618459463119507,1.2077621221542358,0.5792518854141235,0.08738607913255692,0.04631158709526062,0.7727546691894531,0.1073903739452362,0.3041881024837494
33,0.5583289265632629,0.04156210646033287,0.7838857173919678,1.206295371055603,4.886815547943115,1.2156355381011963,0.5814222693443298,0.04621382802724838,0.7641378045082092,1.2060692310333252,0.5793869495391846,0.08765203505754471,0.046454764902591705,0.7744859457015991,0.10549233108758926,0.3007901608943939
34,0.5589902400970459,0.04169991612434387,0.7846670746803284,1.2053674459457397,4.889867305755615,1.217209815979004,0.5815767645835876,0.0466049499809742,0.7659162282943726,1.2077312469482422,0.5796544551849365,0.08831862360239029,0.04682469367980957,0.7757776379585266,0.10365501046180725,0.29746297001838684
35,0.5597795248031616,0.041825223714113235,0.7859169244766235,1.2029662132263184,4.886984348297119,1.2173981666564941,0.5819154381752014,0.04694301635026932,0.7677701711654663,1.2078416347503662,0.5801069736480713,0.08895061910152435,0.04717342555522919,0.7775997519493103,0.10187411308288574,0.29422134160995483
36,0.5606203675270081,0.041918471455574036,0.7869724631309509,1.2004159688949585,4.882375240325928,1.217003583908081,0.5822941064834595,0.04724673926830292,0.7696876525878906,1.207441806793213,0.5806213617324829,0.08952581137418747,0.047490350902080536,0.7794129848480225,0.10014479607343674,0.291031152009964
37,0.5611745119094849,0.04196797311306,0.7876912355422974,1.1984329223632812,4.878017425537109,1.2164783477783203,0.5824933052062988,0.04736310616135597,0.7704102993011475,1.2069367170333862,0.58074951171875,0.08974074572324753,0.04760800674557686,0.7803059816360474,0.09846657514572144,0.2878955900669098
38,0.5618668794631958,0.04214714840054512,0.7887330651283264,1.1975048780441284,4.870460510253906,1.2143486738204956,0.5829796195030212,0.04750719293951988,0.7721024751663208,1.205095887184143,0.5810896158218384,0.08996155112981796,0.04772637039422989,0.7818961143493652,0.09683053940534592,0.2848157286643982
39,0.5624221563339233,0.04221918433904648,0.7892564535140991,1.1959110498428345,4.872756004333496,1.2159605026245117,0.5831669569015503,0.048044491559267044,0.7746986746788025,1.2066290378570557,0.581083357334137,0.09088555723428726,0.04823661595582962,0.7845860123634338,0.09525468945503235,0.28180164098739624
40,0.5630685687065125,0.042503636330366135,0.7904144525527954,1.1962409019470215,4.86843204498291,1.2147501707077026,0.5835374593734741,0.048304006457328796,0.7766628861427307,1.2052878141403198,0.5813300609588623,0.09132799506187439,0.04847841337323189,0.7865647077560425,0.09373181313276291,0.27886614203453064
41,0.5638552308082581,0.04284902289509773,0.7923750877380371,1.1957762241363525,4.860340118408203,1.2124629020690918,0.5838883519172668,0.04847823083400726,0.7788137793540955,1.202990174293518,0.5814356803894043,0.09158437699079514,0.048614829778671265,0.7886855006217957,0.09224244207143784,0.27597084641456604
42,0.5644566416740417,0.04299482703208923,0.7928987145423889,1.1950894594192505,4.85331392288208,1.210545301437378,0.5843231081962585,0.048743944615125656,0.7813822031021118,1.2011412382125854,0.5817108154296875,0.09200550615787506,0.048843421041965485,0.7909882664680481,0.09079457819461823,0.27312755584716797
43,0.5651145577430725,0.04303298145532608,0.7929889559745789,1.1938138008117676,4.842774391174316,1.2076444625854492,0.584851086139679,0.04881572350859642,0.7828152179718018,1.198312520980835,0.5820907950401306,0.09212031215429306,0.04890232905745506,0.792509138584137,0.08938360959291458,0.2703411281108856
44,0.5656535625457764,0.04318201169371605,0.7927388548851013,1.1945210695266724,4.836527347564697,1.2055774927139282,0.5852295160293579,0.04875216633081436,0.7828811407089233,1.196209192276001,0.5822702050209045,0.09199052304029465,0.04882785305380821,0.7928595542907715,0.08802139759063721,0.26762261986732483
45,0.5663439035415649,0.04335897043347359,0.7936195731163025,1.193699836730957,4.827732563018799,1.2031834125518799,0.5859137773513794,0.048822496086359024,0.7838850617408752,1.193751335144043,0.5828506946563721,0.09210605174303055,0.04888882115483284,0.7939483523368835,0.08669424802064896,0.2649538815021515
46,0.5668075084686279,0.0433516725897789,0.7935012578964233,1.192150592803955,4.827258110046387,1.2037181854248047,0.5865040421485901,0.049272697418928146,0.7856021523475647,1.194345235824585,0.5833807587623596,0.09287881851196289,0.049318451434373856,0.7955141663551331,0.08539842814207077,0.2623210549354553
47,0.5673208236694336,0.043536681681871414,0.7945842742919922,1.1912771463394165,4.815208911895752,1.2001649141311646,0.5869773030281067,0.049211643636226654,0.7865580320358276,1.1908464431762695,0.583941638469696,0.09278874844312668,0.04926452040672302,0.7963351011276245,0.08414917439222336,0.25975701212882996
48,0.5679031014442444,0.04365987703204155,0.7958179116249084,1.1896564960479736,4.808338642120361,1.1987224817276,0.587706446647644,0.04930857941508293,0.7867333889007568,1.1892496347427368,0.5847801566123962,0.09298689663410187,0.049375019967556,0.7966530919075012,0.08292200416326523,0.25722530484199524
49,0.5685330033302307,0.04369165003299713,0.7962493300437927,1.1875231266021729,4.795388698577881,1.1953248977661133,0.5886479020118713,0.049346327781677246,0.7877551317214966,1.1858396530151367,0.585864782333374,0.09306849539279938,0.04941776394844055,0.7975053191184998,0.08172344416379929,0.254738450050354
50,0.5689893960952759,0.043763257563114166,0.7963567972183228,1.1870591640472412,4.795270919799805,1.1955150365829468,0.5890282392501831,0.049366455525159836,0.7869880199432373,1.1862069368362427,0.5863834619522095,0.09311281144618988,0.04944612830877304,0.7966267466545105,0.08056699484586716,0.2523084580898285
51,0.5694583654403687,0.04376343637704849,0.7962801456451416,1.1857187747955322,4.786675930023193,1.1932084560394287,0.5895469784736633,0.049317747354507446,0.7870104908943176,1.1840112209320068,0.5870808959007263,0.09305037558078766,0.049411218613386154,0.7965495586395264,0.07945375144481659,0.24994009733200073
52,0.5698930025100708,0.043968766927719116,0.7976493239402771,1.184786081314087,4.7785844802856445,1.1909935474395752,0.5899227857589722,0.04938364401459694,0.7880576848983765,1.1818108558654785,0.5877109169960022,0.09321475774049759,0.04950030520558357,0.797488808631897,0.07836750149726868,0.24761274456977844
53,0.570455014705658,0.04409434646368027,0.7987484931945801,1.1831022500991821,4.766397476196289,1.1876240968704224,0.5905718803405762,0.04932856559753418,0.7887210249900818,1.1785093545913696,0.5885274410247803,0.09315112978219986,0.04946204647421837,0.7981074452400208,0.07730571180582047,0.24532921612262726
54,0.5709336996078491,0.044265955686569214,0.7996994256973267,1.1823134422302246,4.758771896362305,1.1854660511016846,0.5912889242172241,0.04946728050708771,0.789856493473053,1.1764272451400757,0.5894665718078613,0.09342923015356064,0.04961549490690231,0.7989882826805115,0.07627671211957932,0.24309225380420685
55,0.5713579058647156,0.044360194355249405,0.8004115223884583,1.1810723543167114,4.753139495849609,1.184077501296997,0.5918354392051697,0.04959516599774361,0.7905869483947754,1.1751798391342163,0.5901746153831482,0.09365685284137726,0.04974249750375748,0.7993505597114563,0.0752607136964798,0.24087350070476532
56,0.5717109441757202,0.04449867457151413,0.8003981709480286,1.1816319227218628,4.753566741943359,1.1842610836029053,0.5922899842262268,0.04979553073644638,0.7909776568412781,1.175268530845642,0.5908620953559875,0.09405751526355743,0.049967210739851,0.7997052669525146,0.07427533715963364,0.2386990785598755
57,0.5721234083175659,0.04468269273638725,0.8015761971473694,1.1806564331054688,4.748024940490723,1.1827887296676636,0.5929404497146606,0.0500197596848011,0.7923347353935242,1.1739604473114014,0.5916051268577576,0.09446694701910019,0.05019349977374077,0.8009432554244995,0.07331908494234085,0.23657113313674927
58,0.5724782943725586,0.04473641514778137,0.8014899492263794,1.1804091930389404,4.738595008850098,1.1798748970031738,0.5936684012413025,0.05002935230731964,0.7931240200996399,1.1710610389709473,0.5923961997032166,0.09448610246181488,0.050201982259750366,0.8015379905700684,0.07238047569990158,0.2344745546579361
59,0.5729084014892578,0.04483361169695854,0.8026182651519775,1.17875075340271,4.731195449829102,1.1779704093933105,0.5944616198539734,0.050174567848443985,0.7940594553947449,1.1693729162216187,0.5931787490844727,0.09470049291849136,0.05032092332839966,0.802076518535614,0.07145924121141434,0.23240627348423004
60,0.5732889175415039,0.044873278588056564,0.8028589487075806,1.1779664754867554,4.730163097381592,1.1779627799987793,0.5949946641921997,0.05033301189541817,0.7943477034568787,1.169473648071289,0.5936698317527771,0.09498896449804306,0.05048275738954544,0.8023533225059509,0.07057483494281769,0.23039236664772034
61,0.5736767649650574,0.04501783102750778,0.8035233616828918,1.177707552909851,4.724968910217285,1.1764683723449707,0.5955893397331238,0.05041084811091423,0.7949253916740417,1.1679707765579224,0.5942168831825256,0.09512565284967422,0.05055752396583557,0.8029723167419434,0.06970439851284027,0.2284124344587326
62,0.5740827918052673,0.04506860300898552,0.8039878606796265,1.1764137744903564,4.71560001373291,1.1738035678863525,0.5962427854537964,0.05034360662102699,0.795051097869873,1.1654776334762573,0.594909131526947,0.09501246362924576,0.050493162125349045,0.8030796051025391,0.06885609030723572,0.22647054493427277
63,0.5744339227676392,0.04525947570800781,0.8053297400474548,1.1755670309066772,4.707371711730957,1.1713669300079346,0.5967971682548523,0.050404954701662064,0.7961216568946838,1.1632100343704224,0.5954218506813049,0.09508665651082993,0.05053163319826126,0.8039475083351135,0.06803718954324722,0.2245756834745407
64,0.5747292637825012,0.04531586542725563,0.8056936264038086,1.1745860576629639,4.708117485046387,1.1718800067901611,0.5971775054931641,0.0506792813539505,0.7967225909233093,1.164016604423523,0.5958132743835449,0.0955730527639389,0.05080432817339897,0.8044801950454712,0.06723819673061371,0.2227063775062561
65,0.5750094652175903,0.04544713720679283,0.8068100214004517,1.1734299659729004,4.698372840881348,1.1689999103546143,0.5978151559829712,0.050697870552539825,0.7974995970726013,1.1613597869873047,0.5963796377182007,0.09561753273010254,0.05082591250538826,0.8053709864616394,0.06644859164953232,0.22086364030838013
66,0.5752207040786743,0.045584529638290405,0.8064574003219604,1.17483651638031,4.701538562774658,1.1696592569351196,0.5981680154800415,0.050867967307567596,0.7974343299865723,1.1621013879776,0.5967442989349365,0.09592204540967941,0.05099821835756302,0.8053237795829773,0.06568177789449692,0.2190590351819992
67,0.5754752159118652,0.045535098761320114,0.806922972202301,1.1727977991104126,4.693455219268799,1.1677649021148682,0.5987064242362976,0.05087548866868019,0.7977269291877747,1.1602166891098022,0.5973587036132812,0.09594160318374634,0.05100866034626961,0.8054774403572083,0.06492084264755249,0.21726608276367188
68,0.5757769346237183,0.04560258984565735,0.8075440526008606,1.171735405921936,4.685708522796631,1.165595531463623,0.5992507338523865,0.05093636363744736,0.798527181148529,1.158143162727356,0.5978847742080688,0.09605380147695541,0.051068902015686035,0.806272029876709,0.06418398022651672,0.2155183106660843
69,0.5759274363517761,0.04559643566608429,0.8077342510223389,1.170650601387024,4.68166971206665,1.1646958589553833,0.5995942950248718,0.05100062116980553,0.798858642578125,1.1572946310043335,0.5982459783554077,0.0961618423461914,0.051128946244716644,0.806530773639679,0.06347022950649261,0.21380570530891418
70,0.5761645436286926,0.04577013850212097,0.8089762330055237,1.1700406074523926,4.678908824920654,1.1640697717666626,0.6000258922576904,0.05116802826523781,0.7994604110717773,1.156704068183899,0.5986761450767517,0.09645427018404007,0.051292043179273605,0.8070944547653198,0.06278212368488312,0.21213862299919128
71,0.5764111876487732,0.04585111513733864,0.8098055720329285,1.1688910722732544,4.670229911804199,1.1616495847702026,0.6005623936653137,0.051175814121961594,0.8000980615615845,1.1543233394622803,0.599161684513092,0.09645137935876846,0.05128807574510574,0.8076723217964172,0.06208768114447594,0.21047061681747437
72,0.5766101479530334,0.04589417949318886,0.8098271489143372,1.168583631515503,4.668931484222412,1.1614128351211548,0.6010339856147766,0.05126224830746651,0.7999296188354492,1.1541125774383545,0.5996217727661133,0.09660359472036362,0.05137462541460991,0.8075578212738037,0.061422355473041534,0.20884571969509125
73,0.5768667459487915,0.04594975337386131,0.8103510737419128,1.1672499179840088,4.660948276519775,1.1592735052108765,0.6014896035194397,0.051251690834760666,0.8003115653991699,1.152022123336792,0.6000339984893799,0.09657653421163559,0.0513579286634922,0.8079022765159607,0.060763269662857056,0.2072397768497467
74,0.5771440863609314,0.04609045386314392,0.811184823513031,1.166612982749939,4.656689643859863,1.1581964492797852,0.6018460392951965,0.05136100575327873,0.8009893298149109,1.15090811252594,0.6004064679145813,0.09680021554231644,0.0514809787273407,0.8087599873542786,0.06012966111302376,0.20567502081394196
75,0.5774663090705872,0.04616032540798187,0.8119828104972839,1.1652199029922485,4.6489081382751465,1.1561199426651,0.6023398041725159,0.05141611769795418,0.8017477989196777,1.1489084959030151,0.6008386015892029,0.09688571840524673,0.051526427268981934,0.8094804286956787,0.05950440838932991,0.20413002371788025
76,0.5777780413627625,0.046227291226387024,0.8124917149543762,1.1641842126846313,4.644527912139893,1.155063509941101,0.6028088927268982,0.05157466232776642,0.8025424480438232,1.1479183435440063,0.60133296251297,0.09716956317424774,0.05168415233492851,0.8101845383644104,0.05888860300183296,0.2026050090789795
77,0.5780890583992004,0.04624360427260399,0.8120723962783813,1.16411292552948,4.641769886016846,1.1542901992797852,0.6033178567886353,0.05154094472527504,0.8018332719802856,1.1471118927001953,0.601858913898468,0.09712380915880203,0.05166054144501686,0.8096259236335754,0.05828716978430748,0.20111089944839478
78,0.5783723592758179,0.04625722020864487,0.8123547434806824,1.1628929376602173,4.6370062828063965,1.1532682180404663,0.6037392616271973,0.05159467086195946,0.802162766456604,1.1459988355636597,0.6023380756378174,0.09722720086574554,0.051718007773160934,0.8098796010017395,0.05769584700465202,0.19962739944458008
79,0.5787270069122314,0.046293359249830246,0.8120983242988586,1.1627426147460938,4.636313438415527,1.153178334236145,0.6040012240409851,0.05166265368461609,0.8021866083145142,1.1459155082702637,0.6026321649551392,0.09734408557415009,0.051784586161375046,0.8097757697105408,0.05712420493364334,0.19818711280822754
80,0.5790181756019592,0.046342138200998306,0.8119520545005798,1.1625781059265137,4.634288787841797,1.1526556015014648,0.6042331457138062,0.05176878347992897,0.8028504848480225,1.145386815071106,0.6029954552650452,0.09752774238586426,0.051886849105358124,0.8101895451545715,0.056564413011074066,0.19676458835601807
81,0.5793219804763794,0.046385157853364944,0.812067985534668,1.1617549657821655,4.625242233276367,1.1499165296554565,0.6049633622169495,0.05177127197384834,0.803356409072876,1.1427842378616333,0.603722095489502,0.09752120822668076,0.051881588995456696,0.8105701804161072,0.056006304919719696,0.195359468460083
82,0.5795259475708008,0.04646170139312744,0.8122687935829163,1.1614538431167603,4.623309135437012,1.14946448802948,0.6053996086120605,0.051881249994039536,0.8035604953765869,1.1423285007476807,0.6042256951332092,0.09772282093763351,0.05199539661407471,0.810650646686554,0.05546906962990761,0.19398550689220428
83,0.5797146558761597,0.046486109495162964,0.8125700950622559,1.1605570316314697,4.620110511779785,1.1486191749572754,0.6057116389274597,0.05196884274482727,0.804057776927948,1.141731858253479,0.6046158075332642,0.09786032140254974,0.05207255110144615,0.8108208775520325,0.054942935705184937,0.19263380765914917
84,0.5798028111457825,0.04645881429314613,0.812391996383667,1.160278081893921,4.621639251708984,1.1492993831634521,0.6060393452644348,0.05209333077073097,0.8038160800933838,1.1424262523651123,0.6050446033477783,0.09809025377035141,0.052204035222530365,0.8105173110961914,0.05441955104470253,0.19129198789596558
85,0.5799572467803955,0.04646576568484306,0.8126227259635925,1.159369945526123,4.614340305328369,1.147265911102295,0.6065247058868408,0.05206526443362236,0.8041327595710754,1.1403754949569702,0.6055790185928345,0.09805258363485336,0.052181486040353775,0.8108097314834595,0.05390889570116997,0.1899765580892563
